StaffID,FirstName,Role,DepartmentID,LastName,PhoneNumber,Email,ShiftHours
1,Tracy,Technician,15,Day,19415719327,jessicatran@harrison.com,07:00 - 15:00
2,Jennifer,Lab Technician,14,Hanna,12021968007,dgomez@gonzalez-hernandez.com,09:00 - 17:00
3,Cheryl,Billing Clerk,10,Atkinson,14103203762,mcclurejocelyn@hotmail.com,09:00 - 17:00
4,Denise,Administrative Assistant,1,Le,18689689515,cassidylopez@blake.biz,08:00 - 16:00
5,Amy,Data Entry Clerk,1,Carter,19937383267,pcollins@hotmail.com,11:00 - 19:00
6,Malik,Security,6,Gill,19109018818,obrown@miller.com,09:00 - 17:00
7,Christy,Administrative Assistant,9,Ford,16637171978,james74@hotmail.com,12:00 - 20:00
8,Angela,Technician,1,Thornton,17248311168,hcolon@gmail.com,08:00 - 16:00
9,Jennifer,Maintenance,7,Andrade,13919612443,porterhannah@brown-velasquez.org,12:00 - 20:00
10,Anthony,Pharmacist,8,Jones,16151794157,arthurevans@gmail.com,12:00 - 20:00
11,Nicole,Lab Technician,11,Wilson,13540349286,smontoya@hotmail.com,10:00 - 18:00
12,Samantha,Technician,14,Daniel,11366272110,taylorperez@yahoo.com,10:00 - 18:00
13,Holly,Lab Technician,4,Peterson,18197885971,courtneyrodgers@freeman.com,12:00 - 20:00
14,Barbara,Nurse,4,Gregory,17702628592,prestondavid@yahoo.com,06:00 - 14:00
15,Chad,Cleaner,5,George,13591739826,leonardsloan@sanchez.com,11:00 - 19:00
16,Victoria,Pharmacist,8,Smith,14015893222,mcclaindavid@gmail.com,10:00 - 18:00
17,Deborah,Cleaner,4,Perez,14800037880,smithlori@hotmail.com,11:00 - 19:00
18,Linda,Lab Technician,3,Pearson,15428483875,kingandrew@hotmail.com,11:00 - 19:00
19,Kathryn,Technician,8,Marks,19509810879,urobbins@gmail.com,08:00 - 16:00
20,Tammy,Administrative Assistant,14,Clark,18078891348,anthony30@gmail.com,11:00 - 19:00
21,Katie,Technician,14,Smith,16628707175,joshua21@gmail.com,10:00 - 18:00
22,Robin,Receptionist,1,Logan,12311580732,bhunt@rush-ali.com,07:00 - 15:00
23,James,Maintenance,15,Wade,15395821521,walkertracie@kelly-garrison.com,09:00 - 17:00
24,Kristin,Janitor,11,Murphy,16813612249,chad17@castro.net,12:00 - 20:00
25,Tracy,Billing Clerk,6,Jones,18028577402,john41@montgomery-turner.net,06:00 - 14:00
26,Vincent,Pharmacist,4,Wright,13482194863,ashley00@hall-webb.info,06:00 - 14:00
27,John,Janitor,2,Fox,12632350792,montgomerylinda@colon-frey.com,08:00 - 16:00
28,Hector,Security,4,Jackson,18202170910,peterstevens@chapman.com,07:00 - 15:00
29,Mark,Data Entry Clerk,1,Newman,14708980284,wanda32@welch.com,06:00 - 14:00
30,Jenna,Technician,2,Valenzuela,16107822734,gregg06@reed.com,12:00 - 20:00
31,Gabriel,Security,15,Williams,14843940882,melanie62@hotmail.com,11:00 - 19:00
32,Andrew,Administrative Assistant,11,Sanchez,12492819183,lcruz@hotmail.com,10:00 - 18:00
33,Andrew,Receptionist,3,Young,19445954073,joshua40@smith.com,11:00 - 19:00
34,Kaitlyn,Data Entry Clerk,13,Dodson,10785085048,derrick26@hotmail.com,11:00 - 19:00
35,Cody,Lab Technician,3,Rivera,14770120886,paulflynn@johnson.com,10:00 - 18:00
36,Patrick,Maintenance,3,Ruiz,19570904927,shawnduncan@montes.biz,06:00 - 14:00
37,Stephanie,Lab Technician,2,Williams,15086917833,brittany99@yahoo.com,08:00 - 16:00
38,Ashley,Nurse,15,Lewis,11663579904,tracy23@salazar.com,10:00 - 18:00
39,Kimberly,Cleaner,13,Valencia,10068316572,tiffanytran@figueroa.com,07:00 - 15:00
40,Jennifer,Technician,14,Oliver,14127768801,jamiepope@hotmail.com,08:00 - 16:00
41,Angela,Pharmacist,5,Palmer,14854922683,cdelgado@johnson.org,11:00 - 19:00
42,Glenn,Receptionist,10,Morgan,18955429082,suemartinez@leach-davis.net,09:00 - 17:00
43,Brandon,Cleaner,7,Hurst,15020733733,kristenmiller@morris.com,09:00 - 17:00
44,Anthony,Receptionist,5,Lowe,18901401612,jonesdavid@gmail.com,09:00 - 17:00
45,Gregory,Pharmacist,13,Collins,12550486261,jonesmary@morales.com,08:00 - 16:00
46,Jennifer,Maintenance,2,Henderson,16474798889,marymiles@carney-moore.com,06:00 - 14:00
47,Sarah,Billing Clerk,5,Benitez,14630211805,bakerbarbara@peterson.com,06:00 - 14:00
48,Marcus,Billing Clerk,15,Howard,16024584288,adrian69@gmail.com,07:00 - 15:00
49,Abigail,Data Entry Clerk,9,Brown,15720678552,kevinmurphy@hotmail.com,12:00 - 20:00
50,George,Maintenance,2,Baker,13933188379,dustinglass@gmail.com,09:00 - 17:00
51,Alexandria,Technician,13,Norris,15446222860,gkennedy@gmail.com,06:00 - 14:00
